,close,high,low,open,time,volume
0,108.4699,108.5600,107.7800,107.7900,2019-02-19,6773802
1,108.2200,108.3000,107.3624,107.9100,2019-02-15,26606886
2,106.9000,107.2900,105.6600,106.3100,2019-02-14,21784703
3,106.8100,107.7800,106.7100,107.5000,2019-02-13,18394869
4,106.8900,107.1400,105.4800,106.1400,2019-02-12,25056595
5,105.2500,106.5800,104.9650,106.2000,2019-02-11,18914123
6,105.6700,105.7800,104.2603,104.3900,2019-02-08,21461093
7,105.2700,105.5900,104.2900,105.1850,2019-02-07,29760697
8,106.0300,107.0000,105.5300,107.0000,2019-02-06,20609759
9,107.2200,107.2700,105.9600,106.0600,2019-02-05,27325365
10,105.7400,105.8000,102.7700,102.8700,2019-02-04,31315282
11,102.7800,104.0999,102.3500,103.7750,2019-02-01,35535690
12,104.4300,105.2200,103.1800,103.8000,2019-01-31,55636391
13,106.3800,106.3800,104.3300,104.6200,2019-01-30,49471866
14,102.9400,104.9700,102.1700,104.8800,2019-01-29,31490547
15,105.0800,106.4800,104.6600,106.2600,2019-01-28,29476719
16,107.1700,107.8800,106.5900,107.2400,2019-01-25,31218193
17,106.2000,107.0000,105.3400,106.8600,2019-01-24,23164838
18,106.7100,107.0400,105.3400,106.1200,2019-01-23,25874294
19,105.6800,107.1000,104.8600,106.7500,2019-01-22,32371253
20,107.7100,107.9000,105.9100,107.4600,2019-01-18,37427587
21,106.1200,106.6250,104.7600,105.0000,2019-01-17,28393015
22,105.3800,106.2550,104.9600,105.2600,2019-01-16,29853865
23,105.0100,105.0500,101.8800,102.5100,2019-01-15,31587616
24,102.0500,102.8716,101.2600,101.9000,2019-01-14,28437079
25,102.8000,103.4400,101.6400,103.1900,2019-01-11,28314202
26,103.6000,103.7500,102.3800,103.2200,2019-01-10,30067556
27,104.2700,104.8800,103.2445,103.8600,2019-01-09,32280840
28,102.8000,103.9700,101.7134,103.0400,2019-01-08,31514415
29,102.0600,103.2681,100.9800,101.6400,2019-01-07,35656136
30,101.9300,102.5100,98.9300,99.7200,2019-01-04,44060620
31,97.4000,100.1850,97.2000,100.1000,2019-01-03,42578410
32,101.1200,101.7500,98.9400,99.5500,2019-01-02,35329345
33,101.5700,102.4000,100.4400,101.2900,2018-12-31,33173765
34,100.3900,102.4100,99.5200,102.0900,2018-12-28,38169312
35,101.1800,101.1900,96.4000,99.3000,2018-12-27,49498509
36,100.5600,100.6900,93.9600,95.1400,2018-12-26,51634793
37,94.1300,97.9700,93.9800,97.6800,2018-12-24,43935192
38,98.2300,103.0000,97.4600,101.6300,2018-12-21,111242070
39,101.5100,104.3100,98.7800,103.0500,2018-12-20,70334184
40,103.6900,106.8800,101.3500,103.6500,2018-12-19,68198186
41,103.9700,104.5100,102.5200,103.7500,2018-12-18,49319196
42,102.8900,105.8000,101.7100,105.4100,2018-12-17,56957314
43,106.0300,109.2600,105.5000,108.2500,2018-12-14,47043136
44,109.4500,110.8700,108.6300,109.5800,2018-12-13,31333362
45,109.0800,111.2700,109.0400,110.8900,2018-12-12,36183020
46,108.5900,110.9500,107.4400,109.8000,2018-12-11,42381947
47,107.5900,107.9800,103.8900,104.8000,2018-12-10,40801525
48,104.8200,109.4500,104.3000,108.3800,2018-12-07,45044937
49,109.1900,109.2400,105.0000,105.8200,2018-12-06,49107431
50,108.5200,112.6373,108.2115,111.9400,2018-12-04,45196984
51,112.0900,113.4200,110.7300,113.0000,2018-12-03,34732772
52,110.8900,110.9700,109.3600,110.7000,2018-11-30,33665624
53,110.1900,111.1150,109.0300,110.3300,2018-11-29,28123195
54,111.1200,111.3300,107.8600,107.8900,2018-11-28,46788461
55,107.1400,107.3300,105.3600,106.2700,2018-11-27,29124486
56,106.4700,106.6300,104.5800,104.7900,2018-11-26,32336165
57,103.0700,103.8099,102.0000,102.1700,2018-11-23,13823099
58,103.1100,104.4300,102.2400,103.6000,2018-11-21,28130621
59,101.7100,102.9700,99.3528,101.8000,2018-11-20,64052457
60,104.6200,108.5600,103.5500,108.2700,2018-11-19,44773899
61,108.2900,108.8800,106.8000,107.0800,2018-11-16,33502121
62,107.2800,107.8000,103.9100,104.9900,2018-11-15,38505165
63,104.9700,108.2600,104.4700,108.1000,2018-11-14,39495141
64,106.9400,108.7400,106.6400,107.5500,2018-11-13,35374583
65,106.8700,109.9600,106.1000,109.4200,2018-11-12,33621807
66,109.5700,111.4500,108.7600,110.8500,2018-11-09,32039223
67,111.7500,112.2100,110.9100,111.8000,2018-11-08,25644105
68,111.9600,112.2400,109.4000,109.4400,2018-11-07,37901704
69,107.7200,108.8400,106.2800,107.3800,2018-11-06,24340248
70,107.5100,107.7400,105.9000,106.3700,2018-11-05,27922144
71,106.1600,107.3200,104.9750,106.4800,2018-11-02,37680194
72,105.9200,107.3200,105.5300,107.0500,2018-11-01,33384201
73,106.8100,108.1400,105.3900,105.4350,2018-10-31,51062383
74,103.7300,104.3800,100.1100,103.6600,2018-10-30,65350878
75,103.8500,108.7000,101.6300,108.1050,2018-10-29,55162001
76,106.9600,108.7500,104.7600,105.6900,2018-10-26,55523104
77,108.3000,109.2700,106.1500,106.5500,2018-10-25,61646819
78,102.3200,108.4900,101.5901,108.4100,2018-10-24,63897759
79,108.1000,108.9700,105.1100,107.7700,2018-10-23,43770429
80,109.6300,110.5400,108.2400,109.3200,2018-10-22,26545607
81,108.6600,110.8600,108.2100,108.9300,2018-10-19,32785475
82,108.5000,110.5300,107.8300,110.1000,2018-10-18,32506192
83,110.7100,111.8100,109.5482,111.6800,2018-10-17,26548243
84,111.0000,111.4100,108.9500,109.5400,2018-10-16,31610164
85,107.6000,109.4800,106.9468,108.9100,2018-10-15,32068103
86,109.5700,111.2400,107.1200,109.0100,2018-10-12,47742109
87,105.9100,108.9300,104.2000,105.3500,2018-10-11,63904282
88,106.1600,111.5000,105.7900,111.2400,2018-10-10,61376300
89,112.2600,113.0800,110.8000,111.1400,2018-10-09,26198594
90,110.8500,112.0300,109.3400,111.6600,2018-10-08,29640588
91,112.1300,113.1700,110.6400,112.6300,2018-10-05,29068859
92,112.7900,114.7588,111.6300,114.6100,2018-10-04,34821717
93,115.1700,116.1800,114.9300,115.4200,2018-10-03,16648018
94,115.1500,115.8400,114.4400,115.3000,2018-10-02,20787239
95,115.6100,115.6800,114.7300,114.7500,2018-10-01,18883079
96,114.3700,114.5700,113.6800,114.1900,2018-09-28,21647811
97,114.4100,114.9100,114.2000,114.7800,2018-09-27,19091299
98,113.9800,115.0550,113.7400,114.4700,2018-09-26,19352025
99,114.4500,115.1000,113.7500,114.8000,2018-09-25,22668014
